,loc_inicio,loc_fim,multip_g,numero_passos,variacao_altura
257,"[16, 13]","[15, 27]",0.5,30.0,2.0
258,"[8, 1]","[1, 19]",0.5,37.0,-9.0
259,"[9, 28]","[20, 29]",0.5,28.0,-12.0
260,"[15, 22]","[4, 11]",0.5,35.0,-3.0
261,"[11, 21]","[26, 10]",0.5,59.0,-13.0
262,"[15, 0]","[10, 29]",0.5,115.0,-14.0
263,"[23, 9]","[26, 6]",0.5,3.0,-10.0
264,"[24, 9]","[23, 5]",0.5,29.0,3.0
265,"[27, 2]","[15, 16]",0.5,60.0,-16.0
266,"[9, 18]","[13, 27]",0.5,83.0,1.0
267,"[20, 26]","[1, 17]",0.5,35.0,0.0
268,"[29, 29]","[23, 12]",0.5,25.0,0.0
269,"[1, 9]","[11, 21]",0.5,38.0,11.0
270,"[2, 20]","[15, 3]",0.5,30.0,-6.0
271,"[10, 8]","[18, 0]",0.5,18.0,-4.0
272,"[27, 0]","[17, 19]",0.5,89.0,11.0
273,"[22, 29]","[2, 15]",0.5,40.0,-4.0
274,"[0, 10]","[10, 2]",0.5,18.0,14.0
275,"[1, 23]","[12, 25]",0.5,30.0,11.0
276,"[27, 14]","[12, 25]",0.5,80.0,2.0
277,"[22, 14]","[8, 27]",0.5,50.0,10.0
278,"[24, 28]","[6, 7]",0.5,43.0,7.0
279,"[18, 10]","[21, 1]",0.5,,
280,"[7, 28]","[22, 22]",0.5,50.0,10.0
281,"[4, 1]","[12, 23]",0.5,52.0,11.0
282,"[29, 9]","[20, 11]",0.5,38.0,-2.0
283,"[5, 18]","[14, 12]",0.5,18.0,5.0
284,"[28, 28]","[10, 15]",0.5,60.0,-9.0
285,"[19, 4]","[2, 3]",0.5,40.0,-3.0
286,"[14, 5]","[6, 26]",0.5,32.0,13.0
287,"[17, 21]","[6, 6]",0.5,32.0,-12.0
288,"[15, 2]","[14, 15]",0.5,,
289,"[28, 13]","[16, 5]",0.5,27.0,-5.0
290,"[28, 13]","[10, 7]",0.5,35.0,-13.0
291,"[26, 6]","[5, 0]",0.5,89.0,11.0
292,"[18, 24]","[26, 1]",0.5,40.0,-2.0
293,"[17, 3]","[1, 17]",0.5,48.0,9.0
294,"[21, 9]","[22, 16]",0.5,17.0,-12.0
295,"[15, 5]","[27, 1]",0.5,47.0,17.0
296,"[5, 28]","[6, 28]",0.5,1.0,3.0
297,"[6, 5]","[25, 18]",0.5,36.0,7.0
298,"[24, 14]","[19, 29]",0.5,24.0,2.0
299,"[22, 18]","[27, 20]",0.5,7.0,4.0
300,"[6, 10]","[8, 1]",0.6,35.0,-6.0
301,"[19, 15]","[8, 12]",0.6,18.0,-8.0
302,"[9, 10]","[10, 4]",0.6,9.0,-10.0
